Trend Line_x,Trend Line_y,,,series3_x,series3_y
64.08,1.948608663,,,89,0.1
64.8,1.931251275,,,90,0
65.52,1.91114257,,,91,-0.11
66.24,1.888311123,,,92,-0.21
66.96,1.862789377,,,93,-0.32
67.68,1.834613601,,,94,-0.42
68.4,1.803823832,,,95,-0.52
69.12,1.770463824,,,96,-0.62
69.84,1.734580981,,,97,-0.72
70.56,1.696226294,,,98,-0.82
71.28,1.655454266,,,99,-0.91
72,1.612322836,,,100,-1
72.72,1.566893293,,,101,-1.09
73.44,1.519230194,,,102,-1.18
74.16,1.46940127,,,103,-1.26
74.88,1.417477329,,,104,-1.34
75.6,1.363532156,,,105,-1.42
76.32,1.307642409,,,106,-1.49
77.04,1.249887507,,,107,-1.56
77.76,1.190349522,,,108,-1.62
78.48,1.129113059,,,109,-1.68
79.2,1.066265137,,,110,-1.74
79.92,1.001895064,,,111,-1.79
80.64,0.936094311,,,112,-1.83
81.36,0.868956382,,,113,-1.87
82.08,0.800576683,,,114,-1.91
82.8,0.731052382,,,115,-1.94
83.52,0.660482276,,,116,-1.96
84.24,0.588966645,,,117,-1.98
84.96,0.516607116,,,118,-1.99
85.68,0.443506513,,,119,-2
86.4,0.369768714,,,120,-2
87.12,0.295498501,,,121,-2
87.84,0.220801415,,,122,-1.99
88.56,0.145783603,,,123,-1.98
89.28,0.070551665,,,124,-1.96
90,-0.004787492,,,125,-1.94
90.72,-0.080126808,,,126,-1.91
91.44,-0.155359225,,,127,-1.87
92.16,-0.230377836,,,128,-1.83
92.88,-0.305076037,,,129,-1.79
93.6,-0.379347681,,,130,-1.74
94.32,-0.453087226,,,131,-1.68
95.04,-0.526189886,,,132,-1.62
95.76,-0.598551781,,,133,-1.56
96.48,-0.670070082,,,134,-1.49
97.2,-0.740643161,,,135,-1.42
97.92,-0.810170731,,,136,-1.34
98.64,-0.878553992,,,137,-1.26
99.36,-0.945695769,,,138,-1.18
100.08,-1.011500654,,,139,-1.09
100.8,-1.075875135,,,140,-1
101.52,-1.138727734,,,141,-0.91
102.24,-1.199969138,,,142,-0.82
102.96,-1.259512319,,,143,-0.72
103.68,-1.317272666,,,144,-0.62
104.4,-1.373168101,,,145,-0.52
105.12,-1.427119194,,,146,-0.42
105.84,-1.479049279,,,147,-0.32
106.56,-1.528884563,,,148,-0.21
107.28,-1.576554228,,,149,-0.11
108,-1.621990536,,,150,-0.01
108.72,-1.665128919,,,151,0.1
109.44,-1.705908077,,,152,0.2
110.16,-1.744270062,,,153,0.31
110.88,-1.78016036,,,154,0.41
111.6,-1.813527971,,,155,0.51
112.32,-1.844325479,,,156,0.61
113.04,-1.872509119,,,157,0.71
113.76,-1.898038842,,,158,0.81
114.48,-1.920878369,,,159,0.9
115.2,-1.940995245,,,160,0.99
115.92,-1.958360884,,,161,1.08
116.64,-1.972950608,,,162,1.17
117.36,-1.984743686,,,163,1.25
118.08,-1.993723358,,,164,1.33
118.8,-1.999876864,,,165,1.41
119.52,-2.003195461,,,166,1.48
120.24,-2.003674432,,,167,1.55
120.96,-2.001313097,,,168,1.61
121.68,-1.996114812,,,169,1.67
122.4,-1.988086962,,,170,1.73
123.12,-1.977240957,,,171,1.78
123.84,-1.963592207,,,172,1.82
124.56,-1.94716011,,,173,1.86
125.28,-1.927968014,,,174,1.9
126,-1.906043193,,,175,1.93
126.72,-1.881416802,,,176,1.95
127.44,-1.854123836,,,177,1.97
128.16,-1.824203078,,,178,1.98
128.88,-1.791697048,,,179,1.99
129.6,-1.756651936,,,180,2
130.32,-1.719117543,,,181,1.99
131.04,-1.679147205,,,182,1.98
131.76,-1.636797723,,,183,1.97
132.48,-1.592129275,,,184,1.95
133.2,-1.545205336,,,185,1.93
133.92,-1.496092586,,,186,1.9
134.64,-1.444860816,,,187,1.86
135.36,-1.391582827,,,188,1.82
136.08,-1.336334329,,,189,1.78
136.8,-1.279193831,,,190,1.73
137.52,-1.220242531,,,191,1.67
138.24,-1.1595642,,,192,1.61
138.96,-1.097245064,,,193,1.55
139.68,-1.033373679,,,194,1.48
140.4,-0.968040808,,,195,1.41
141.12,-0.901339292,,,196,1.33
141.84,-0.833363913,,,197,1.25
142.56,-0.764211268,,,198,1.17
143.28,-0.693979623,,,199,1.08
144,-0.62276878,,,200,0.99
144.72,-0.55067993,,,201,0.9
145.44,-0.477815514,,,202,0.81
146.16,-0.404279073,,,203,0.71
146.88,-0.330175106,,,204,0.61
147.6,-0.255608914,,,205,0.51
148.32,-0.180686459,,,206,0.41
149.04,-0.105514208,,,207,0.31
149.76,-0.030198981,,,208,0.2
150.48,0.045152197,,,209,0.1
151.2,0.120432249,,,210,0
151.92,0.195534201,,,211,-0.11
152.64,0.270351331,,,212,-0.21
153.36,0.344777323,,,213,-0.32
154.08,0.418706415,,,214,-0.42
154.8,0.492033552,,,215,-0.52
155.52,0.564654535,,,216,-0.62
156.24,0.636466168,,,217,-0.72
156.96,0.707366403,,,218,-0.82
157.68,0.777254492,,,219,-0.91
158.4,0.84603112,,,220,-1.01
159.12,0.913598555,,,221,-1.09
159.84,0.979860781,,,222,-1.18
160.56,1.044723639,,,223,-1.26
161.28,1.108094957,,,224,-1.34
162,1.169884683,,,225,-1.42
162.72,1.230005011,,,226,-1.49
163.44,1.28837051,,,227,-1.56
164.16,1.344898241,,,228,-1.62
164.88,1.399507877,,,229,-1.68
165.6,1.452121815,,,230,-1.74
166.32,1.502665291,,,231,-1.79
167.04,1.551066481,,,232,-1.83
167.76,1.597256605,,,233,-1.87
168.48,1.641170026,,,234,-1.91
169.2,1.682744343,,,235,-1.94
169.92,1.721920477,,,236,-1.96
170.64,1.758642758,,,237,-1.98
171.36,1.792859003,,,238,-1.99
172.08,1.824520589,,,239,-2
172.8,1.853582525,,,240,-2
173.52,1.880003514,,,241,-2
174.24,1.903746009,,,242,-1.99
174.96,1.924776273,,,243,-1.98
175.68,1.943064421,,,244,-1.96
176.4,1.958584465,,,245,-1.94
177.12,1.971314351,,,246,-1.91
177.84,1.981235989,,,247,-1.87
178.56,1.988335281,,,248,-1.83
179.28,1.992602138,,,249,-1.79
180,1.994030497,,,250,-1.74
180.72,1.992618328,,,251,-1.68
181.44,1.988367638,,,252,-1.62
182.16,1.981284467,,,253,-1.56
182.88,1.97137888,,,254,-1.49
183.6,1.958664954,,,255,-1.42
184.32,1.943160756,,,256,-1.34
185.04,1.924888317,,,257,-1.26
185.76,1.903873603,,,258,-1.18
186.48,1.880146476,,,259,-1.09
187.2,1.853740653,,,260,-1.01
187.92,1.824693657,,,261,-0.91
188.64,1.793046765,,,262,-0.82
189.36,1.758844948,,,263,-0.72
190.08,1.722136808,,,264,-0.62
190.8,1.682974507,,,265,-0.52
191.52,1.641413696,,,266,-0.42
192.24,1.597513434,,,267,-0.32
192.96,1.551336105,,,268,-0.21
193.68,1.502947327,,,269,-0.11
194.4,1.452415862,,,270,-0.01
195.12,1.399813516,,,271,0.1
195.84,1.34521504,,,272,0.2
196.56,1.288698017,,,273,0.31
197.28,1.230342761,,,274,0.41
198,1.170232196,,,275,0.51
198.72,1.10845174,,,276,0.61
199.44,1.045089184,,,277,0.71
200.16,0.980234569,,,278,0.81
200.88,0.913980054,,,279,0.9
201.6,0.846419789,,,280,0.99
202.32,0.777649778,,,281,1.08
203.04,0.707767745,,,282,1.17
203.76,0.636872995,,,283,1.25
204.48,0.56506627,,,284,1.33
205.2,0.492449609,,,285,1.41
205.92,0.419126202,,,286,1.48
206.64,0.345200245,,,287,1.55
207.36,0.270776786,,,288,1.61
208.08,0.195961585,,,289,1.67
208.8,0.120860954,,,290,1.73
209.52,0.045581614,,,291,1.78
210.24,-0.029769461,,,292,1.82
210.96,-0.105085197,,,293,1.86
211.68,-0.180258566,,,294,1.9
212.4,-0.255182747,,,295,1.93
213.12,-0.32975127,,,296,1.95
213.84,-0.403858172,,,297,1.97
214.56,-0.477398144,,,298,1.98
215.28,-0.550266686,,,299,1.99
216,-0.622360248,,,300,2
216.72,-0.693576384,,,301,1.99
217.44,-0.763813895,,,302,1.98
218.16,-0.832972971,,,303,1.97
218.88,-0.900955335,,,304,1.95
219.6,-0.967664383,,,305,1.93
220.32,-1.033005321,,,306,1.9
221.04,-1.096885295,,,307,1.86
221.76,-1.159213533,,,308,1.82
222.48,-1.219901464,,,309,1.78
223.2,-1.278862848,,,310,1.73
223.92,-1.336013901,,,311,1.67
224.64,-1.391273409,,,312,1.61
225.36,-1.444562847,,,313,1.55
226.08,-1.49580649,,,314,1.48
226.8,-1.544931519,,,315,1.41
227.52,-1.591868127,,,316,1.33
228.24,-1.636549615,,,317,1.25
228.96,-1.67891249,,,318,1.17
229.68,-1.718896553,,,319,1.08
230.4,-1.756444986,,,320,1
231.12,-1.791504432,,,321,0.9
231.84,-1.824025071,,,322,0.81
232.56,-1.853960689,,,323,0.71
233.28,-1.881268747,,,324,0.61
234,-1.905910441,,,325,0.51
234.72,-1.927850754,,,326,0.41
235.44,-1.947058508,,,327,0.31
236.16,-1.963506408,,,328,0.2
236.88,-1.977171081,,,329,0.1
237.6,-1.988033111,,,330,0
238.32,-1.996077061,,,331,-0.11
239.04,-2.0012915,,,332,-0.21
239.76,-2.00366902,,,333,-0.32
240.48,-2.003206241,,,334,-0.42
241.2,-1.999903821,,,335,-0.52
241.92,-1.993766453,,,336,-0.62
242.64,-1.984802859,,,337,-0.72
243.36,-1.973025775,,,338,-0.82
244.08,-1.958451937,,,339,-0.91
244.8,-1.941102056,,,340,-1
245.52,-1.921000785,,,341,-1.09
246.24,-1.898176689,,,342,-1.18
246.96,-1.872662201,,,343,-1.26
247.68,-1.844493579,,,344,-1.34
248.4,-1.813710851,,,345,-1.42
249.12,-1.780357759,,,346,-1.49
249.84,-1.744481699,,,347,-1.56
250.56,-1.706133652,,,348,-1.62
251.28,-1.665368112,,,349,-1.68
252,-1.622243006,,,350,-1.74
252.72,-1.576819618,,,351,-1.79
253.44,-1.529162494,,,352,-1.83
254.16,-1.479339357,,,353,-1.87
254.88,-1.427421006,,,354,-1.91
255.6,-1.373481219,,,355,-1.94
256.32,-1.317596645,,,356,-1.96
257.04,-1.259846698,,,357,-1.98
257.76,-1.200313442,,,358,-1.99
258.48,-1.139081474,,,359,-2
259.2,-1.076237808,,,360,-2
259.92,-1.011871745,,,-,-
260.64,-0.946074751,,,-,-
261.36,-0.878940325,,,-,-
262.08,-0.810563867,,,-,-
262.8,-0.741042541,,,-,-
263.52,-0.67047514,,,-,-
264.24,-0.59896194,,,-,-
264.96,-0.526604563,,,-,-
265.68,-0.453505832,,,-,-
266.4,-0.379769622,,,-,-
267.12,-0.305500712,,,-,-
267.84,-0.230804642,,,-,-
268.56,-0.155787556,,,-,-
269.28,-0.080556055,,,-,-
270,-0.005217045,,,-,-
270.72,0.070122416,,,-,-
271.44,0.145355268,,,-,-
272.16,0.220374604,,,-,-
272.88,0.29507382,,,-,-
273.6,0.369346765,,,-,-
274.32,0.443087897,,,-,-
275.04,0.516192428,,,-,-
275.76,0.588556473,,,-,-
276.48,0.660077204,,,-,-
277.2,0.730652985,,,-,-
277.92,0.800183529,,,-,-
278.64,0.868570029,,,-,-
279.36,0.935715308,,,-,-
280.08,1.00152395,,,-,-
280.8,1.06590244,,,-,-
281.52,1.128759294,,,-,-
282.24,1.190005192,,,-,-
282.96,1.2495531,,,-,-
283.68,1.307318401,,,-,-
284.4,1.363219008,,,-,-
285.12,1.417175486,,,-,-
285.84,1.46911116,,,-,-
286.56,1.51895223,,,-,-
287.28,1.566627869,,,-,-
288,1.612070329,,,-,-
288.72,1.655215037,,,-,-
289.44,1.696000681,,,-,-
290.16,1.734369305,,,-,-
290.88,1.770266386,,,-,-
291.6,1.803640913,,,-,-
292.32,1.83444546,,,-,-
293.04,1.862636254,,,-,-
293.76,1.888173234,,,-,-
294.48,1.911020112,,,-,-
295.2,1.931144422,,,-,-
295.92,1.948517567,,,-,-
296.64,1.963114858,,,-,-
297.36,1.974915554,,,-,-
298.08,1.983902885,,,-,-
298.8,1.990064079,,,-,-
299.52,1.993390382,,,-,-
300.24,1.993877067,,,-,-
300.96,1.991523442,,,-,-
301.68,1.986332851,,,-,-
302.4,1.978312672,,,-,-
303.12,1.9674743,,,-,-
303.84,1.953833136,,,-,-
304.56,1.937408567,,,-,-
305.28,1.918223931,,,-,-
306,1.89630649,,,-,-
306.72,1.871687389,,,-,-
307.44,1.844401613,,,-,-
308.16,1.814487935,,,-,-
308.88,1.781988863,,,-,-
309.6,1.74695058,,,-,-
310.32,1.709422876,,,-,-
311.04,1.669459078,,,-,-
311.76,1.627115976,,,-,-
312.48,1.58245374,,,-,-
313.2,1.535535837,,,-,-
313.92,1.486428937,,,-,-
314.64,1.435202824,,,-,-
315.36,1.381930291,,,-,-
316.08,1.326687038,,,-,-
316.8,1.269551569,,,-,-
317.52,1.210605073,,,-,-
318.24,1.149931316,,,-,-
318.96,1.087616517,,,-,-
319.68,1.023749225,,,-,-
320.4,0.958420198,,,-,-
321.12,0.891722271,,,-,-
321.84,0.823750221,,,-,-
322.56,0.75460064,,,-,-
323.28,0.684371791,,,-,-
324,0.61316347,,,-,-
324.72,0.541076866,,,-,-
325.44,0.468214416,,,-,-
326.16,0.39467966,,,-,-
326.88,0.320577091,,,-,-
327.6,0.246012011,,,-,-
328.32,0.17109038,,,-,-
329.04,0.095918662,,,-,-
329.76,0.020603678,,,-,-
330.48,-0.054747547,,,-,-
331.2,-0.130027937,,,-,-
331.92,-0.205130517,,,-,-
332.64,-0.279948565,,,-,-
333.36,-0.354375762,,,-,-
334.08,-0.428306346,,,-,-
334.8,-0.50163526,,,-,-
335.52,-0.5742583,,,-,-
336.24,-0.646072269,,,-,-
336.96,-0.716975117,,,-,-
337.68,-0.786866088,,,-,-
338.4,-0.855645868,,,-,-
339.12,-0.923216717,,,-,-
339.84,-0.989482616,,,-,-
340.56,-1.0543494,,,-,-
341.28,-1.11772489,,,-,-
342,-1.179519031,,,-,-
342.72,-1.239644009,,,-,-
343.44,-1.298014387,,,-,-
344.16,-1.354547218,,,-,-
344.88,-1.409162168,,,-,-
345.6,-1.461781628,,,-,-
346.32,-1.512330825,,,-,-
347.04,-1.560737926,,,-,-
347.76,-1.606934145,,,-,-
348.48,-1.650853834,,,-,-
349.2,-1.692434584,,,-,-
349.92,-1.731617307,,,-,-
350.64,-1.768346324,,,-,-
351.36,-1.802569441,,,-,-
352.08,-1.834238027,,,-,-
352.8,-1.86330708,,,-,-
353.52,-1.889735292,,,-,-
354.24,-1.913485108,,,-,-
354.96,-1.934522779,,,-,-
355.68,-1.952818409,,,-,-
356.4,-1.968346002,,,-,-
357.12,-1.98108349,,,-,-
357.84,-1.991012775,,,-,-
358.56,-1.998119746,,,-,-
359.28,-2.002394304,,,-,-
